[Point];[Position];[Force];[Time]
507;45.58;1017.0223;T#0ms
508;45.59;1018.132;T#0ms
509;45.6;1017.9368;T#0ms
510;45.61;1017.5345;T#0ms
511;45.62;1019.4002;T#0ms
512;45.63;1021.095;T#0ms
513;45.64;1021.2414;T#0ms
514;45.65;1021.3434;T#0ms
515;45.66;1021.6071;T#0ms
516;45.67;1019.9565;T#0ms
517;45.68;1018.9427;T#0ms
518;45.69;1019.7125;T#0ms
519;45.7;1019.9365;T#0ms
520;45.71;1019.9945;T#0ms
521;45.72;1020.5096;T#0ms
522;45.73;1021.8815;T#0ms
523;45.74;1021.3739;T#0ms
524;45.75;1021.9531;T#0ms
525;45.76;1022.4911;T#0ms
526;45.77;1022.7104;T#0ms
527;45.78;1024.613;T#0ms
528;45.79;1026.009;T#0ms
529;45.8;1027.265;T#0ms
530;45.81;1026.675;T#0ms
531;45.82;1027.1789999999999;T#0ms
532;45.83;1026.67;T#0ms
533;45.84;1025.855;T#0ms
534;45.85;1025.934;T#0ms
535;45.86;1027.188;T#0ms
536;45.87;1026.785;T#0ms
537;45.88;1028.507;T#0ms
538;45.89;1029.728;T#0ms
539;45.9;1030.7830000000001;T#0ms
540;45.91;1031.142;T#0ms
541;45.92;1031.685;T#0ms
542;45.93;1032.9189999999999;T#0ms
543;45.94;1032.02;T#0ms
544;45.95;1031.38;T#0ms
545;45.96;1030.428;T#0ms
546;45.97;1029.569;T#0ms
547;45.98;1028.563;T#0ms
548;45.99;1029.109;T#0ms
549;46.0;1030.746;T#0ms
550;46.01;1030.626;T#0ms
551;46.02;1032.276;T#0ms
552;46.03;1032.014;T#0ms
553;46.04;1030.892;T#0ms
554;46.05;1030.496;T#0ms
555;46.06;1029.02;T#0ms
556;46.07;1030.026;T#0ms
557;46.08;1031.388;T#0ms
558;46.09;1031.612;T#0ms
559;46.1;1032.715;T#0ms
560;46.11;1033.392;T#0ms
561;46.12;1032.228;T#0ms
562;46.13;1031.845;T#0ms
563;46.14;1032.66;T#0ms
